brand_author_id,total_tweets,inbound_tweets,outbound_tweets,outbound_ratio
AmazonHelp,169840,0,169840,1.0
AppleSupport,106860,0,106860,1.0
Uber_Support,56270,0,56270,1.0
SpotifyCares,43265,0,43265,1.0
Delta,42253,0,42253,1.0
Tesco,38573,0,38573,1.0
AmericanAir,36764,0,36764,1.0
TMobileHelp,34317,0,34317,1.0
comcastcares,33031,0,33031,1.0
British_Airways,29361,0,29361,1.0
SouthwestAir,28977,0,28977,1.0
VirginTrains,27817,0,27817,1.0
Ask_Spectrum,25860,0,25860,1.0
XboxSupport,24557,0,24557,1.0
sprintcare,22381,0,22381,1.0
hulu_support,21872,0,21872,1.0
sainsburys,19466,0,19466,1.0
GWRHelp,19364,0,19364,1.0
AskPlayStation,19098,0,19098,1.0
ChipotleTweets,18749,0,18749,1.0
VerizonSupport,17966,0,17966,1.0
UPSHelp,17817,0,17817,1.0
ATVIAssist,17650,0,17650,1.0
O2,16212,0,16212,1.0
Safaricom_Care,16077,0,16077,1.0
idea_cares,15724,0,15724,1.0
AskTarget,13218,0,13218,1.0
AirAsiaSupport,12829,0,12829,1.0
BofA_Help,12683,0,12683,1.0
SW_Help,12231,0,12231,1.0
ArgosHelpers,12174,0,12174,1.0
AskLyft,11809,0,11809,1.0
marksandspencer,11504,0,11504,1.0
AskAmex,11358,0,11358,1.0
MicrosoftHelps,11304,0,11304,1.0
AskPayPal,11298,0,11298,1.0
Morrisons,10126,0,10126,1.0
AdobeCare,9917,0,9917,1.0
airtel_care,9881,0,9881,1.0
AskeBay,9686,0,9686,1.0
AirbnbHelp,8875,0,8875,1.0
ChaseSupport,8811,0,8811,1.0
McDonalds,8478,0,8478,1.0
AldiUK,8114,0,8114,1.0
JetBlue,8020,0,8020,1.0
CoxHelp,7861,0,7861,1.0
Ask_WellsFargo,7578,0,7578,1.0
AzureSupport,7565,0,7565,1.0
AlaskaAir,7478,0,7478,1.0
HPSupport,7200,0,7200,1.0
LondonMidland,6822,0,6822,1.0
GloCare,6308,0,6308,1.0
DropboxSupport,5954,0,5954,1.0
DellCares,5336,0,5336,1.0
GreggsOfficial,4522,0,4522,1.0
nationalrailenq,4444,0,4444,1.0
VirginAtlantic,4318,0,4318,1.0
TacoBellTeam,4082,0,4082,1.0
AskCiti,4081,0,4081,1.0
AskPapaJohns,3908,0,3908,1.0
CenturyLinkHelp,3801,0,3801,1.0
NikeSupport,3468,0,3468,1.0
Postmates_Help,3346,0,3346,1.0
VirginAmerica,2815,0,2815,1.0
ATT,2790,0,2790,1.0
Walmart,2643,0,2643,1.0
IHGService,2643,0,2643,1.0
TfL,2243,0,2243,1.0
askpanera,2153,0,2153,1.0
KFC_UKI_Help,2103,0,2103,1.0
NortonSupport,2011,0,2011,1.0
GoDaddyHelp,1965,0,1965,1.0
ArbysCares,1904,0,1904,1.0
AsurionCares,1898,0,1898,1.0
DoorDash_Help,1581,0,1581,1.0
sizehelpteam,1482,0,1482,1.0
VMUcare,1381,0,1381,1.0
Kimpton,1339,0,1339,1.0
SCsupport,1329,0,1329,1.0
DunkinDonuts,1290,0,1290,1.0
TwitterSupport,1290,0,1290,1.0
USCellularCares,1177,0,1177,1.0
NeweggService,1079,0,1079,1.0
PandoraSupport,1043,0,1043,1.0
AWSSupport,1035,0,1035,1.0
AskRBC,1011,0,1011,1.0
AskVirginMoney,914,0,914,1.0
BoostCare,907,0,907,1.0
YahooCare,906,0,906,1.0
OPPOCareIN,879,0,879,1.0
PearsonSupport,841,0,841,1.0
HiltonHelp,833,0,833,1.0
GooglePlayMusic,804,0,804,1.0
MTNC_Care,784,0,784,1.0
AskTigogh,715,0,715,1.0
asksalesforce,710,0,710,1.0
askvisa,709,0,709,1.0
AskSeagate,639,0,639,1.0
MOO,630,0,630,1.0
ask_progressive,612,0,612,1.0
KeyBank_Help,555,0,555,1.0
