,delivery,order_status_tracking,order_change_cancel,return_refund_replacement,payment_billing,account_access,product_device_issue,shipping_delivery_options,customer_service_complaint,information_general
delivery,289,18,4,6,3,4,1,10,14,5
order_status_tracking,23,634,9,41,19,4,14,24,28,34
order_change_cancel,1,1,107,2,3,1,0,2,7,1
return_refund_replacement,33,73,15,1576,75,7,32,33,103,40
payment_billing,19,33,3,35,818,6,35,14,49,34
account_access,0,2,0,3,1,155,3,1,3,9
product_device_issue,5,22,4,15,5,3,811,4,15,26
shipping_delivery_options,2,12,1,4,3,0,2,276,4,7
customer_service_complaint,42,79,8,37,27,11,9,22,995,38
information_general,15,27,5,25,17,8,31,12,27,527
