context_turn_count,candidate_intent,count
1,account_access,2960
1,customer_service_escalation,4540
1,delivery_delay,2098
1,delivery_not_received,2197
1,order_change_cancel,374
1,order_status,1018
1,other,51787
1,payment_billing,3371
1,product_device_issue,3956
1,refund_return,7042
1,shipping_speed,5484
2,account_access,358
2,customer_service_escalation,634
2,delivery_delay,331
2,delivery_not_received,303
2,order_change_cancel,47
2,order_status,147
2,other,4613
2,payment_billing,401
2,product_device_issue,701
2,refund_return,1238
2,shipping_speed,455
3,account_access,6553
3,customer_service_escalation,6675
3,delivery_delay,4937
3,delivery_not_received,3648
3,order_change_cancel,337
3,order_status,2337
3,other,31051
3,payment_billing,2999
3,product_device_issue,3335
3,refund_return,9466
3,shipping_speed,3421
