candidate_intent,acknowledgement_or_closure,callback,delivery_investigation,information_or_explanation,other,phone_or_chat,privacy_or_account_restriction,refund_or_replacement,self_service_help
account_access,8.57,0.37,10.0,7.01,46.75,12.42,1.2,1.26,12.42
customer_service_escalation,8.95,1.0,11.5,8.23,49.54,8.54,0.61,1.38,10.26
delivery_delay,8.76,0.11,27.88,6.38,38.2,10.17,0.54,1.14,6.82
delivery_not_received,7.22,0.28,22.07,5.34,42.55,9.69,0.65,3.09,9.11
order_change_cancel,7.92,0.0,13.06,9.37,45.51,12.01,1.19,4.62,6.33
order_status,10.37,0.17,27.47,6.08,33.81,12.88,1.09,1.17,6.97
other,5.78,0.07,9.9,6.62,65.17,4.78,0.34,1.27,6.07
payment_billing,6.59,0.13,12.54,7.87,51.07,9.94,0.59,2.44,8.83
product_device_issue,7.8,0.09,4.07,9.63,60.89,6.98,0.09,0.71,9.75
refund_return,7.15,0.15,12.76,6.87,38.54,9.19,0.7,15.4,9.24
shipping_speed,7.87,0.09,28.86,8.43,37.54,8.86,0.49,1.7,6.16
